	Domain	Phylum	Class	Order	Family	Genus	Species
833169c5ae5c81e425b767d0940b24b7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
6e4c6c651bd1c01ef909016222661ca1	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
d6dae07c2d1d5acafb234696fae606ed	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Xenococcaceae	PleurocapsaPCC-7319	
9930f1e0e6acafcb3e001d9ac75af33b	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonasdiminuta
8d00554638f06c95e305a251ca3dbdaa	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	
41ce46b70fff75a7ac8812e201d6b590	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
f05d1fdd3facf997040d2baf0dea8281	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	
9216cc66216d453f62399e89c6947b61	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	
8f74a6d59ff6e469c9090cc3e31b0a6e	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
3f8f5a1a9319a99750d2a41f8bf14303	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	
66098f95a84324cd9e2de628c023740d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
2135659da9554d51f8c7f4030c757c78	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	uncultured	unculturedbetaproteobacterium
5f5afeba2dacdc77ad1beb0dbe95eefc	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured	
7f54912a018b80abc3729bfaa61dc040	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
ae228c1a917bce76229e4b22de1758a0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Butyricicoccus	
cee8f6d14e043fda582d03c28f5f4869	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
98ec8afeadabfacef0021ee2c088c213	Bacteria	Proteobacteria	Gammaproteobacteria				
6f53a6cefaf88f9547f88faa4a5559f5	Bacteria	Firmicutes					
f2c8294fee478b0beaccfcdd9aa53ed5	Bacteria	Patescibacteria	Parcubacteria	CandidatusNomurabacteria	unculturedbacterium	unculturedbacterium	unculturedbacterium
c288cd7e39f9d44d5680c535a00e78b5	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
db3b70650139af60a7300783f5e1fcec	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillusaviarius
532b06dcfb81345119dd2a1bd4921f91	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	
68efda9c873818bc831e773d0f557a41	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	unculturedbacterium
1bb09ae311ca9fd2cb4fbed182eda0fd	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales			
c7a7e6181fb6e2fae0bb7bccc8e2ef55	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	unculturedbacterium
5ba86264ac0200d431f337a070848bf3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
586a38d3edf49f38ebd6d14f4f24f649	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	unculturedbacterium
85bf674d83e74d79787b27f984c4b3a8	Bacteria	Patescibacteria	Parcubacteria				
f2033d28252a5ea2250ee4eae3cc1121	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1	Clostridiumsensustricto1	unculturedbacterium
a3b2f2d8721858b78c746ad1a4847196	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
74c956c379ba15721876f069903bcd77	Bacteria	Patescibacteria	Parcubacteria				
2512e6121dd80243c6a3d4105ec674af	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	uncultured	
0e3579ab98d697bba851d26bfdf61e06	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Ileibacterium	unculturedbacterium
08daef03d8ee8ade468f20c5896e2064	Bacteria						
106b6db85472d84289477e1fae7f5f0c	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
8a94bd766573d7504a70ec0572389eae	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	uncultured	
7305603c21280dd44a455dcfbfe86524	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	
af01f11f93757eb4a9ea1ec6d27b7556	Bacteria	Patescibacteria	ABY1	CandidatusMagasanikbacteria			
f413190a27ead655fa0e2b9952ed0c6d	Bacteria						
8c09ea8692aea9c10e113989d1272aa0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	Ambiguous_taxa
ce6edeb8b91596744f25b59c453fd9c3	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12marinegroup	unculturedbacterium	unculturedbacterium
2f555a91ce34d2da9eb1c38905072229	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
a328c2145924ee15df0848d6bc2ac9c8	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	unculturedbacterium
82cc75735077c5d5772cb5f46e3927b9	Bacteria						
aad837249f5e1034fcc127ae73b34591	Bacteria	Patescibacteria	Parcubacteria	CandidatusMoranbacteria	unculturedbacterium	unculturedbacterium	unculturedbacterium
ee27900d818251f6020df2b999220e1d	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	uncultured	unculturedbacterium
fe9d775a15a172dca76fbab69a435415	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	Methylotenera	
175c94649eb68c120b31d51d26dee692	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae		
a083d98913166eeb9f599d37fec1fd47	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Chromobacteriaceae	Crenobacter	unculturedbacterium
ff61dd821e8d0a39a322f6d7c50dff5b	Bacteria						
c6199a24dd1ee9213a215a6cc55a7763	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	
3e5f4ec24c51a1cff30e39594dacb10e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
d29fb01f75d7a4ef40842b87a8750e62	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium1	
b2aa59d2af768c690e759d3306b8e73d	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Ambiguous_taxa
fd41fc4e02499d02fd8f777e6b50be82	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
6c2df53443fd46e6f468a63f57382391	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	unculturedVerrucomicrobiabacterium
0eed6190305090cba9b926db709b5ce9	Bacteria	Dependentiae	Babeliae	Babeliales	unculturedbacterium	unculturedbacterium	unculturedbacterium
2999caa36b29c22881be31bd8391a4e5	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaIncertaeSedis	UnknownFamily	uncultured	
dcaaded1829e495743597817480a9523	Bacteria						
55a14359fe450fc02c6c033f4f6d6cf8	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	
eab3aa32e51e24979db5ba0b7bdb137c	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonassp.ASS-1
2fecd7e58b13c4c3c8d297711b34a601	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parasutterella	unculturedbacterium
8efac53d771db055d0e015aeccbd1b4f	Bacteria						
9f6a0eec4eb64487236db384fb71b8e1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	
93f19f5b273a650790d229ae4f50477b	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	
91e4d2e793d9eaaf9686a0aa59dc8d69	Bacteria	Tenericutes	Mollicutes	MollicutesRF39			
6ef1330feb50580901381d93428a9a8b	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
5c0d2d819a929ace735620879b98cdf1	Bacteria	Patescibacteria	Parcubacteria				
1be9aa48728f01b7fb3f9dd60df26563	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS17		
42938ef10fa29e82171e3e759cae501e	Bacteria	Patescibacteria	Parcubacteria	CandidatusMoranbacteria	unculturedsoilbacterium	unculturedsoilbacterium	unculturedsoilbacterium
2ea4a6fe4052f96b09d61220ef364d2e	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
c2070007e283aaf9e1b153f0c871b43b	Bacteria	Dependentiae	Babeliae	Babeliales	unculturedbacterium	unculturedbacterium	unculturedbacterium
e8bb9278e9cf8b454a8441b7a3b24f2c	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	unculturedbacterium
53df98e4ec4e047357023690ea53d062	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	
d8f331d5622d145cad686db8ae6c325b	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
e878ca9fd261d34385049df83b39e067	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	
090cfeaf88c23adf147bf13485e4d89f	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
c0bbd5205b94ba782ec1a82bb0bb6ec2	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
238e3e0e0a1ec8b6d2b73fb95955fe04	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	uncultured	
753e01edb350b465a09074e5d3ae6ac2	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	
2fcf1068dbfe22dfa72d83cf5c9139a2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	
93b3771e59dc01f4a1a576e8e9e4da46	Bacteria	Patescibacteria	Microgenomatia	CandidatusWoesebacteria	unculturedbacterium	unculturedbacterium	unculturedbacterium
ad2a8d7273e431337671bd7fc85f4f41	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
44224587f759cdc2779e06b90efd6914	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultureddeltaproteobacterium	uncultureddeltaproteobacterium
26447281f2e5e9f78705320c054d5dce	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	
b389fde50c3f161c4c84f64e89642749	Bacteria						
ae90ee4269bf28abaa09a9e0b5f5c138	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		
c08ee9ddc6910a74bdcf8cb3658bb539	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	
72720cfe3ec60a693b17643aed56cd39	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	metagenome
49200a2a9626bc18c61f709436f5fe3e	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured	
4bb33e66437770c49bb13297721adb7f	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacteriumsp.
d2c2bb2ab1b9971195436764067494bf	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	
1bac274bfd8eecda88f98e761d2047a4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Porphyrobacter	
8da5efcc0c124b4d952f0a256cf6ba7e	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	unculturedbacterium
a50977f342df5412caf1a06a264bb90e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae		
15ce652263c7b5a34e477dfe95489224	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Marinospirillum	Ambiguous_taxa
789dae323b3e02f9f9117e507d6c3020	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermussp.K03
39d215df99e53ad4dbc85105651ca2d2	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
cd2c5a0d5c3d7daecfbc9e60d0144105	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillusaviarius
7d313a5a86e85ec56dfcb459edfe080e	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	unculturedFlexibactersp.
05c394e40d661806d57d03bc96a4f5a7	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
b85c772abf8f28480addb5aaea66a576	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	
56136ebef1235854300bed307ca95bdc	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	uncultured	deltaproteobacteriumWX81
ba03f25269eed178db08ebd60c28d580	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	unculturedverrucomicrobiumDEV007	unculturedverrucomicrobiumDEV007
c6d66fac3d815783e08a47b12599913f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
b9b42d7b186ced3d7361a9f5688a4faa	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unculturedbacterium
979ee87c7b738f9fe12a9c957733b6f0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
90ca51611a968f87f994c0e480d329f8	Bacteria	Dependentiae	Babeliae	Babeliales			
fae92cca1702b34c0c171f77afadaaad	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae1	Clostridiumsensustricto1	
b383b030dcf60c7aa46e04be6ebb693e	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	
71424a25a4a00d811f86d1e2830c1311	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
dd3473b921ef2c353d18e550f31458b0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella9	unculturedbacterium
7c8554cd923a5dd713a20f8a0be137a4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
bffea24b03b8f3498b2fee28f7791ab0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	
4bb220580861a07aa6efa8d07eaacf19	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema2	unculturedbacterium
2208fc86fb606c5252fb95029ba0bf9b	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	CM1G08	unculturedbacterium
e7b67069650489987b074450fe0e6b77	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	unculturedbacterium
06885539480dec0c8423f38d7a7d71a9	Bacteria	Patescibacteria	ABY1	CandidatusKerfeldbacteria			
877b9cf2e554913ccdf470c9ab2ae463	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	unculturedbacterium
7b2cd96a86376f403be0b45001d344d1	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaIncertaeSedis	UnknownFamily	CandidatusBerkiella	unculturedbacterium
6342a547e7458f73bd2a8e4a81da1cef	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Ambiguous_taxa
1e7df33c10ccc3bb7c18d9b1703f41dc	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella9	unculturedbacterium
156370337f193fec9484425225493ad0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	
af2f68a18c6978cf28791117bf4ef8dc	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
875a7f25a99734f770e912b2586535fb	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12marinegroup	unculturedCytophagalesbacterium	unculturedCytophagalesbacterium
e211b6ee82a3d1ecaf8b50ff990be717	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	unculturedbacterium
e2562da441df2c731c69a08c7c7b812d	Bacteria	Chloroflexi	KD4-96				
4c43d7e18632d192c5f8e8c730db19e2	Bacteria	Actinobacteria	Actinobacteria	PeM15			
8bbe8ea6a646df3a4aded960d3078d26	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
1ea4ed04d227cee740bb9d31be091489	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
d765ed49c12d92ccb8b86f3b7b705092	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
446048c0447706c04ed60797cf5fb975	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	
227c11d199281aa412cefac6042486ee	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14	
c19408847da4ab0d6fa67f67cbd71884	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema2	unculturedbacterium
1ba07e41eaf8dc02fff093e00aedd06a	Bacteria	Dependentiae	Babeliae	Babeliales	unculturedbacterium	unculturedbacterium	unculturedbacterium
9746f1192b72c709b435af283ba2d24e	Bacteria	Patescibacteria	Parcubacteria				
06be8832c855b1629e2f3ed4fd99eaa5	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	
b45d4d6a7caf844a95029949de3418e2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella2	unculturedbacterium
a98a57210456e1cc11cef601fbf71202	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
bb6735da631eb48a8d97d70b62ab0ac2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
8d81871dded35c07353c6c714abf319a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella1	
4bfe2af0ccf3c92f81ce8bdfdcb3ac6c	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	
4467d13ce3a6c5a472210f4933f36b16	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
36e7c7e776e71fad8e5a67e39f50ff4d	Bacteria						
d95efd8d85dca09265f604fb6140c8cf	Bacteria	Actinobacteria	Acidimicrobiia				
43f21192200d723aeb95002ae940031d	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4lineage	
946840ef9b4de24cd9d1463b05b2d72c	Bacteria	Firmicutes	Clostridia	Clostridiales	FamilyXI	Peptoniphilus	
bb8d6195ae48c3f64d8bf261313d08d4	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	
6010416ed91fb58650c0d9953563fbd5	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
7ee6c22268da891367c52f418e6e3f25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
85cffe445fe5486da7601ee09d6b963c	Bacteria	Acidobacteria	Subgroup6				
4742fd143c386bdf6b95c956ad3a96d2	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0edf7b0d011c3a9c1fb28d4b93c21550	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
8a525030ed05d6a466081222239fa412	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobactercanadensis
cf85b6793ddd347a6a3a669516a74095	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	RuminococcaceaeUCG-014	
deb86699c6f79f9d4eb410c4a55386d0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	unculturedbacterium	unculturedbacterium
933f8ea0eeee13828fee33f941df6902	Bacteria	Acidobacteria	Blastocatellia(Subgroup4)	Blastocatellales	Blastocatellaceae		
3b104141d425c43350ab612c57764447	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	LachnospiraceaeFE2018group	unculturedLachnospiraceaebacterium
46a1b9e1f30ab735633085f3a802b301	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
a9e32866c5f5c7ca5ea023da181526d6	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
d32b6fb56388ec73c2f3a77fea4972dc	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	RhizobialesIncertaeSedis	uncultured	
3a8476c6db27c482228ebd4c53529663	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS17	Ambiguous_taxa	Ambiguous_taxa
2f76fdf417506fbf72330ec314acee9f	Bacteria	Actinobacteria	Actinobacteria	PeM15			
ad193e4c49e342be89788110c3525f52	Bacteria	Proteobacteria	Gammaproteobacteria	Competibacterales	Competibacteraceae	CandidatusCompetibacter	unculturedsoilbacterium
143bd977b424a378cbe5355a8d48c163	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	
20c4e1e323df579157c079cc940b80f4	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	
fc53d0806020b08f202c1fa343af297d	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS17		
30e75e2365dd7ba5a3564a8f31fb6f86	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
2387283eb60a4b3addc4fd952cb09675	Bacteria						
69772e53927d03b3aeec30119d3b204e	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		
56a2bdb8ae6cf2f83b8347c1c3c2d5d8	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	
4b4e5d581425b015299cf729d1750ff2	Bacteria	Patescibacteria	Parcubacteria	CandidatusKaiserbacteria	metagenome	metagenome	metagenome
f7ca0c95c93bacea733e22e8909a4c76	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Delftia	
f949b1e0f71722d2638b76a28123c2cf	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
3a93a342ac21dedd095dee6324383e25	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	metagenome
a152e600f55f2d73061178598d7c1b7f	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
7cfad12a969b615d70a98e850d810fe7	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	uncultured	unculturedbacterium
e5e50b4185035c3c3b4ce10a95d0038f	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardianeocaledoniensis
88364f02a078573eae5faf72a912ff65	Bacteria						
482f4f91178b2018910fae33416d7078	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
8cfaf1f9c79de86709dddfbdec295cda	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia	
1792c230c7ed959dff6c7cef3db1ac64	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
